Packet #,Timestamp,Source IP,Destination IP,Protocol,Length (B),Source Port,Destination Port,TCP Flags,DNS Query,DNS Query Type,DNS Response,ICMP Type,ICMP Code,HTTP Host,HTTP Method,HTTP URI,TLS Version,Info
41,12:48:51.206,192.168.167.137,172.217.114.4,HTTPS/TLS,16460,63152,443,PSH-ACK,,,,,,,,,,TLS  63152->443 [PSH-ACK]
42,12:48:51.206,192.168.167.137,172.217.114.4,HTTPS/TLS,16460,63152,443,PSH-ACK,,,,,,,,,,TLS  63152->443 [PSH-ACK]
43,12:48:51.206,192.168.167.137,172.217.114.4,HTTPS/TLS,16460,63152,443,PSH-ACK,,,,,,,,,,TLS  63152->443 [PSH-ACK]
44,12:48:51.206,192.168.167.137,172.217.114.4,HTTPS/TLS,16460,63152,443,PSH-ACK,,,,,,,,,,TLS  63152->443 [PSH-ACK]
45,12:48:51.206,192.168.167.137,172.217.114.4,HTTPS/TLS,16460,63152,443,PSH-ACK,,,,,,,,,,TLS  63152->443 [PSH-ACK]
46,12:48:51.206,192.168.167.137,172.217.114.4,HTTPS/TLS,12762,63152,443,ACK,,,,,,,,,,TLS  63152->443 [ACK]
47,12:48:51.212,192.168.172.190,224.0.0.251,UDP,82,5353,5353,,,,,,,,,,,UDP 5353->5353 Len=82
48,12:48:51.212,192.168.172.190,224.0.0.251,UDP,82,5353,5353,,,,,,,,,,,UDP 5353->5353 Len=82
49,12:48:51.212,192.168.160.107,239.255.255.250,UDP,179,1900,1900,,,,,,,,,,,UDP 1900->1900 Len=179
50,12:48:51.212,192.168.186.71,224.0.0.251,UDP,119,5353,5353,,,,,,,,,,,UDP 5353->5353 Len=119
51,12:48:51.212,192.168.174.65,224.0.0.251,UDP,111,5353,5353,,,,,,,,,,,UDP 5353->5353 Len=111
52,12:48:51.240,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
53,12:48:51.240,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
54,12:48:51.240,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
55,12:48:51.240,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
56,12:48:51.240,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
57,12:48:51.240,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
58,12:48:51.240,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
59,12:48:51.240,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
60,12:48:51.240,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
61,12:48:51.240,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
62,12:48:51.240,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
63,12:48:51.240,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
64,12:48:51.240,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
65,12:48:51.240,192.168.167.137,172.217.114.4,HTTPS/TLS,21234,63152,443,PSH-ACK,,,,,,,,,,TLS  63152->443 [PSH-ACK]
66,12:48:51.264,172.217.114.4,192.168.167.137,HTTPS/TLS,64,443,63152,ACK,,,,,,,,,,TLS  443->63152 [ACK]
